monopoly n.垄断，专卖；垄断物，垄断商品；垄断企业；垄断集团
subsidy n.财政补贴，津贴
bargain n.物美价廉的东西；交易，买卖
indifferent adj.不感兴趣的；冷淡的；不同情的；不关心的
illegal adj.非法的，不合法的（尤指违背刑法的）
trademark n.商标，牌号；特征，标记
vegetation n.植物，草木；植被
predecessor n.前辈；前任；原先的事物
shield n.屏障，保护物，保护人；盾
format n.安排，布局，设计，样式；【计算机】（数据处理、存储或显示）格式
vivid adj.生动的，逼真的；鲜艳的
humidity n.（大气，气体的）湿度
stereotype n.陈规，老套，旧框框，固定的模式（或形象）
crime n.罪，罪行；非法行为；违法行为
magnetic adj.有磁性的；与磁性有关的；有吸引力的
stumble vi.绊脚，绊倒；跌跌撞撞地走；（说话）结结巴巴；无意中发现；犯错
haunt v.（尤指在脑际）萦绕；（鬼魂）出没；长期不断地缠扰（某人）
multiple adj.许多，多种多样的
evaluate v.估…的值；定…的价；对…进行评价（或评估）
stark adj.光秃秃的，荒凉的；无装饰的；严酷的，苛刻的，严峻的；完全的，十足的
shabby adj.破旧的，破烂的；不公正的，不光彩的
objection n.反对，异议；反对的理由
drawback n.缺点，欠缺；不利条件，障碍
kidney n.肾，肾脏
couch n.长沙发; 长椅
outline n.提纲，大纲；轮廓线；梗概；略图
mild adj.轻微的；不严重的；温和的；和善的；和煦的
garage n.汽车间，汽车库；加油站；汽车修理厂
flexible adj.灵活的，可变通的；易弯曲的，柔韧的
sandwich n.三明治, 夹心面包片, 夹心蛋糕
enthusiasm n.热情，热心，热忱；巨大兴趣
sufficient adj.足够的，充分的
defy vt.反抗，藐视，挑衅；经受住，抗住
initiate v.开始（过程，行动）；发起，创始
disperse v.（使）分散，散开；疏散，驱散；散布，传播
refreshment n.小食，点心，饮料；恢复活力，焕发精神
effective adj.能产生（预期）效果的，有效的
contradiction n.矛盾；对立；抵触
misfortune n.不幸，厄运，逆境；灾难，灾祸；不幸事故
instantaneous adj.瞬间发生的；瞬间完成的
informed v.通知；使了解；提供资料（“inform”的过去分词和过去式）
occupation n.工作；职业；占领，占用
melody n.旋律，曲子，曲调
collaboration n.合作；协作；通敌行为
rein n.缰绳
cute adj.漂亮的，可爱的；聪明伶俐的
entertainment n.娱乐，娱乐节目；娱乐表演
screw n.螺丝（钉）
cater v.迎合，设法满足（需要，要求）
glow n.（持续不变的）光（或热）；脸红
nominal adj.名义上的，有名无实的；（价格或收费）极少的；廉价的；象征性的；名词性的
unemployment n.失业；失业状态；失业人数，失业比率
belt n.安全带（seat belt 的简称）；皮带，腰带，肩带，传动带，传送带
reproduction n.复制品；复制；繁殖，繁育
migration n.（动物）迁徙，洄游；（人）移居
mortgage v.（向银行等）抵押（房产）
recede vi.退，退去，渐渐远去；向后倾斜；缩进；（特点，感觉）逐渐减少；（可能性）变得渺茫
temper n.易怒的性情；易发脾气的性格；情绪，心情
intervene v.（为防止或改变某事件结果或过程）插入，插手，介入；干预，干涉
universe n.天地万物；宇宙
denote v.表示，指示
eliminate v.消除，根除，排除，剔除
tunnel n.隧道；地道
turkey n.火鸡，火鸡肉
transcend vt.超出，超越
inhibit vt.阻碍，制止，防止（动作，过程）
terrace n.（与建筑物相连的）露台，平台；阶梯看台；梯田；阶地
liability n.法律责任，责任；起妨碍作用的人（或物），不利因素；欠债，负债；可能性
revolve v.（使）旋转； （天体）自转，公转；围绕；（使）循环往复；一再浮现；反复思考；以…为最重要内容，以…为中心
imaginary adj.想象中的，假想的，虚构的，幻想的
fusion n.联合，合并；核聚变
lens n.透镜，镜片
recur vi.再发生，周期性发生，反复出现
forge v.〈喻〉创造，缔造（强大、不朽或成功的东西）；伪造，假冒
distinct adj.可辨别的；有区别的；不同的；明显的
upright adj.垂直的；正直的，诚实的
enroll v.注册；登记；报名；招收；（使）加入
faculty n.能力，才能；（大学系、科或学院的）全体教学（或科研）人员
tablet n.片剂, 药片；碑, 匾；便签簿；平板电脑
slope n.斜坡，坡地；倾斜，斜面
peculiar adj.奇怪的，古怪的；独特的，特有的，独具的
domain n.（活动）范围；（知识）领域；领地，势力范围
pasture v.放牧; 吃草
solitude n.独居，独处；隐居；孤独
prolong v.延长，拖长
visualize vt.想象，设想
utmost adj.极度的，最大的
fixture n.（房屋或车辆中的）固定装置；固定家具
compact adj.小型的；袖珍的；紧凑的
outfit n.（尤指在某一场合穿的）全套服装；（协同工作的）一组人；全套装备，全套工具
sovereign adj.至高无上的；（国家）有独立主权的；（国家事务）自主的
detection n.（对隐匿之物的）发现，察觉；检测，探测
temperament n.气质，性情
ward n.病房；病室；区，选区；受监护人
breakthrough n.突破；重大发现；重大成就
frantic adj.（因恐惧、焦虑或其他情绪）发狂的，发狂似的
patron n.赞助人，资助人；（商店、饭店等的）顾客（尤指老主顾）
routine n.常规，惯例；固定程序；例行公事；日常工作
rash adj.轻率的，鲁莽的
boring adj.令人厌烦的，乏味的，无聊的
resume v.重新开始; 继续; 恢复; 重返; 重新得到; 重新使用; 取回, 收回; 接着说
deduce vt.推论，演绎出（事实，结论）
sue v.控告，起诉；要求，请求
susceptible adj.易受影响的；易受伤害的；过敏的；能经受的，容许的
speculate v.推测，猜测；投机
considerable adj.相当大的; 相当多的; 重大的, 重要的; 值得注意的
indefinitely adv.（程度）无限地；不确定地
purify v.使纯净；精炼，提纯；使（某物或心灵）净化
poetry n.诗，诗歌，诗集
occasional adj.不经常的，偶尔的，间或发生的
solemn adj.严肃的，庄严的，正式的；郑重的
shoulder n.肩膀；（衣服）肩部；路肩；（phrase. rub shoulders with someone）与某人交往（尤指富人和名人）
emphasis n.重点；重要性；重点强调
benevolent adj.仁慈的，善意的，慈善的
muddy adj.泥泞的，沾满烂泥的；（光、色泽）灰暗的，暗淡的；模糊的，糊涂的
ballet n.芭蕾舞；芭蕾舞剧
van n.大篷车，运货车
dual adj.双的，两的；两体的；二元的；双重的，两重的
owl n.猫头鹰；机警的人；夜猫子
standing n.地位；级别；身份；名望
spear n.矛，梭镖，矛尖
limp n.跛行
compensate v.弥补，抵消（不受欢迎的或令人讨厌的事物）；赔偿，赔款
chancellor n.【美】大学校长；大学行政长官
grieve v.为（或因）…而伤心
detect v.发现，识别；检测，探测；察觉
locality n.地区，位置，地点，发生地
facet n.（问题等的）一个方面；（多面体的）面
impart v.告知，传达；传授；赋予
junk n.废旧物品，破烂
intent n.意图，意向；目的
irony n.反话，冷嘲；具有讽刺意味的事；出乎意料的事情（或结果）；令人啼笑皆非的局面
recite v.背诵；朗诵，当众吟诵；（口头）列举，逐一讲述
immerse v.【喻】投入，陷入，沉浸于（活动）
tenant n.租户；佃户；房客
bully vt.威吓，恫吓
recipe n.烹饪法，食谱；方法，秘诀，诀窍
saturate vt.使湿透，使浸透；使充满，使饱和
equality n.相同；（尤指地位、权利的）平等，（机会）均等
passive adj.被动的，消极的
expedition n.探险；考察；考察队
insert v.插入；嵌入；塞入
reservation n.预订，预约（尤指座位、房间等）；保留意见
lace n.饰带，花边，缎带
reunion n.重聚，团聚；重聚联欢会，联谊活动
certainty n.确定的事实；必然发生的事
revolutionary adj.革命性剧变的，大变革的；突破性的
comprehensive adj.全面的；无所不包的；综合性的
valid adj.有效的；有确实根据的；正当的，合法的
dimension n.尺寸；容积；维度；（局势的）方面；特征
proficient adj.熟练的；精通的；训练有素的
withhold v.拒给, 不给; 使停止, 阻挡; 隐瞒; 克制; 抑制
leaflet n.宣传册；传单
priest n.神父，牧师；（非基督教教会的）神职人员
furnish vt.为（房子，房间）配备家具和家用设施
deprive v.剥夺（人，地方）对某物的所有（或使用）
lofty adj.巍峨的，高耸的；崇高的，高尚的；傲慢的
digest vt.消化,；（经过一段时间思考）理解；吸收（新信息）
refute vt.驳斥，反驳（声明，理论）；批驳，否认
entity n.实体，独立存在体，实际存在物
quarterly adv.每季一次
court n.（民事或刑事案件中的）全体法官（审判员）；法院；法庭，审判庭；球场；朝廷，宫廷
salvation n.拯救，解救；解救措施
slippery adj.滑的；狡猾的；（词语，概念）含糊的；难以捉摸的
sociology n.社会学
shrug v.【表示怀疑、不知道或冷漠】耸（肩）
haul v.（人）拖，拉
convention n.行为规则；惯例；习俗；会议；国际公约
chunk n.厚片，大块；相当大的部分（或数量）
inhabitant n.居民，住户；栖居的动物
dean n.（大学）教务长，系主任，院长，医学院院长
grope v.摸索，暗中摸；搜寻
complication n.使更复杂化的事物；【医】并发症
veil n.面纱，面罩，头巾；掩饰，掩盖，托辞
web n.（蜘蛛等的）网；网络；错综复杂的事物；互联网（world wide web 的简称）
throne n.王位，帝位；王权，君权
feasible adj.可行的，行得通的；合理的；可用的，适宜的；容易办得到的
